Book_ID,Title,Author,Department,Total_Copies,Available_Copies
B-1000,Introduction to Algorithms,Cormen,Computer Science,8,7
B-1001,Computer Networks,Tanenbaum,Computer Science,6,6
B-1002,Operating System Concepts,Silberschatz,Computer Science,7,7
B-1003,Database System Concepts,Korth,Computer Science,9,9
B-1004,The C Programming Language,Kernighan,Computer Science,11,11
B-1005,"Compilers: Principles, Techniques, and Tools",Aho,Computer Science,7,7
B-1006,Artificial Intelligence: A Modern Approach,Russell,Computer Science,11,8
B-1007,Discrete Mathematics and Its Applications,Rosen,Computer Science,10,10
B-1008,Computer Architecture: A Quantitative Approach,Hennessy,Computer Science,13,13
B-1009,Introduction to the Theory of Computation,Sipser,Computer Science,9,7
B-1010,Clean Code,Robert C. Martin,Computer Science,8,8
B-1011,Design Patterns,Gamma,Computer Science,8,8
B-1012,Structure and Interpretation of Computer Programs,Abelson,Computer Science,14,14
B-1013,The Pragmatic Programmer,Hunt,Computer Science,9,8
B-1014,Computer Graphics: Principles and Practice,Foley,Computer Science,8,8
B-1015,Data Structures and Algorithm Analysis in C++,Weiss,Computer Science,10,9
B-1016,Modern Operating Systems,Tanenbaum,Computer Science,9,8
B-1017,Distributed Systems,van Steen,Computer Science,6,5
B-1018,Cryptography and Network Security,Stallings,Computer Science,14,14
B-1019,Software Engineering: A Practitioner's Approach,Pressman,Computer Science,5,4
B-1020,Deep Learning,Goodfellow,Computer Science,5,5
B-1021,Machine Learning,Tom Mitchell,Computer Science,11,11
B-1022,Digital Design,Morris Mano,Computer Science,8,8
B-1023,Python Crash Course,Matthes,Computer Science,10,9
B-1024,Java: The Complete Reference,Schildt,Computer Science,15,15
B-1025,Programming Pearls,Bentley,Computer Science,12,11
B-1026,The Art of Computer Programming,Knuth,Computer Science,9,8
B-1027,Code Complete,McConnell,Computer Science,7,6
B-1028,Effective C++,Scott Meyers,Computer Science,14,14
B-1029,Head First Design Patterns,Freeman,Computer Science,7,7
B-1030,Introduction to Data Mining,Tan,Computer Science,5,5
B-1031,Computer Organization and Design,Patterson,Computer Science,13,12
B-1032,"Automata Theory, Languages, and Computation",Hopcroft,Computer Science,13,12
B-1033,Big Data: A Revolution,Mayer-Schonberger,Computer Science,10,7
B-1034,Cloud Computing,Marinescu,Computer Science,15,15
B-1035,Internet of Things,Raj Kamal,Computer Science,14,14
B-1036,Blockchain Basics,Drescher,Computer Science,9,9
B-1037,Cybersecurity for Beginners,Meeuwisse,Computer Science,15,14
B-1038,Data Science from Scratch,Grus,Computer Science,11,9
B-1039,The Mythical Man-Month,Brooks,Computer Science,13,12
B-1040,Working Effectively with Legacy Code,Feathers,Computer Science,10,9
B-1041,Refactoring,Fowler,Computer Science,14,14
B-1042,Pattern Recognition and Machine Learning,Bishop,Computer Science,9,9
B-1043,Hands-On Machine Learning,Geron,Computer Science,6,6
B-1044,Natural Language Processing with Python,Bird,Computer Science,5,4
B-1045,Reinforcement Learning,Sutton,Computer Science,13,13
B-1046,Digital Image Processing,Gonzalez,Computer Science,9,9
B-1047,Real-Time Systems,Liu,Computer Science,13,13
B-1048,Embedded Systems,Raj Kamal,Computer Science,9,9
B-1049,Introduction to Parallel Computing,Grama,Computer Science,7,7
B-1050,"Cloud Computing: Concepts, Technology & Architecture",Erl,Information Technology,12,12
B-1051,Web Technologies,Achyut Godbole,Information Technology,15,15
B-1052,Information Storage and Management,EMC Education Services,Information Technology,14,14
B-1053,Data Analytics with R,Seema Acharya,Information Technology,13,11
B-1054,Software Project Management,Bob Hughes,Information Technology,14,13
B-1055,Mobile Computing,Asoke K Talukder,Information Technology,11,10
B-1056,Electronic Commerce,Bharat Bhaskar,Information Technology,15,14
B-1057,Supply Chain Management,Chopra,Information Technology,6,5
B-1058,Information Security: Principles and Practice,Stamp,Information Technology,15,11
B-1059,Service Oriented Architecture,Thomas Erl,Information Technology,8,8
B-1060,Management Information Systems,Laudon,Information Technology,8,8
B-1061,Hadoop: The Definitive Guide,Tom White,Information Technology,13,12
B-1062,Data Warehousing Fundamentals,Ponniah,Information Technology,15,12
B-1063,Network Security Essentials,Stallings,Information Technology,12,12
B-1064,Introduction to Information Retrieval,Manning,Information Technology,11,11
B-1065,Social Media Mining,Zafarani,Information Technology,10,9
B-1066,The Lean Startup,Eric Ries,Information Technology,11,10
B-1067,Business Intelligence,Sharda,Information Technology,11,11
B-1068,Agile Software Development,Robert Martin,Information Technology,7,6
B-1069,User Story Mapping,Jeff Patton,Information Technology,8,7
B-1070,Learning Web Design,Robbins,Information Technology,15,15
B-1071,PHP and MySQL Web Development,Welling,Information Technology,15,14
B-1072,Node.js Design Patterns,Casciaro,Information Technology,9,9
B-1073,High Performance Browser Networking,Grigorik,Information Technology,10,10
B-1074,The DevOps Handbook,Kim,Information Technology,15,15
B-1075,Site Reliability Engineering,Beyer,Information Technology,15,13
B-1076,Infrastructure as Code,Morris,Information Technology,7,7
B-1077,Continuous Delivery,Humble,Information Technology,5,4
B-1078,Docker Deep Dive,Nigel Poulton,Information Technology,14,13
B-1079,Kubernetes Up and Running,Hightower,Information Technology,6,6
B-1080,Software Architecture in Practice,Bass,Information Technology,6,6
B-1081,Building Microservices,Newman,Information Technology,12,12
B-1082,Enterprise Integration Patterns,Hohpe,Information Technology,10,10
B-1083,Domain-Driven Design,Evans,Information Technology,9,8
B-1084,SQL Performance Explained,Winand,Information Technology,7,6
B-1085,Database Internals,Petrov,Information Technology,11,11
B-1086,Streaming Systems,Akidau,Information Technology,15,13
B-1087,Designing Data-Intensive Applications,Kleppmann,Information Technology,8,8
B-1088,Data Mesh,Dehghani,Information Technology,7,6
B-1089,Web Scalability for Startup Engineers,Esham,Information Technology,9,9
B-1090,Cracking the Coding Interview,McDowell,Information Technology,15,15
B-1091,Soft Skills,Sonmez,Information Technology,8,6
B-1092,The Phoenix Project,Kim,Information Technology,12,12
B-1093,The Unicorn Project,Kim,Information Technology,5,5
B-1094,Accelerate,Forsgren,Information Technology,8,7
B-1095,Test Driven Development,Beck,Information Technology,7,7
B-1096,Extreme Programming Explained,Beck,Information Technology,7,7
B-1097,Scrum: The Art of Doing Twice the Work,Sutherland,Information Technology,14,14
B-1098,Talking to Humans,Constable,Information Technology,13,11
B-1099,The Mom Test,Fitzpatrick,Information Technology,14,12
B-1100,"Embedded Systems: Architecture, Programming and Design",Raj Kamal,ECS,6,5
B-1101,Digital Logic and Computer Design,Morris Mano,ECS,6,6
B-1102,Microprocessors and Interfacing,Douglas Hall,ECS,10,9
B-1103,VLSI Technology,S.M. Sze,ECS,15,14
B-1104,Computer System Architecture,Morris Mano,ECS,7,6
B-1105,CMOS VLSI Design,Neil Weste,ECS,10,7
B-1106,Real-Time Embedded Systems,Xiaocong Fan,ECS,15,15
B-1107,ARM System Developer's Guide,Sloss,ECS,6,6
B-1108,Digital Signal Processing,Proakis,ECS,15,14
B-1109,Introduction to Embedded Systems,Shibu K V,ECS,11,10
B-1110,The 8051 Microcontroller,Mazidi,ECS,13,12
B-1111,FPGA Prototyping by Verilog Examples,Chu,ECS,12,12
B-1112,Digital Integrated Circuits,Rabaey,ECS,14,12
B-1113,Control Systems Engineering,Norman Nise,ECS,14,11
B-1114,Signals and Systems,Oppenheim,ECS,14,14
B-1115,Electronic Devices and Circuit Theory,Boylestad,ECS,13,13
B-1116,Linear Integrated Circuits,Roy Choudhury,ECS,7,7
B-1117,Microelectronic Circuits,Sedra/Smith,ECS,12,12
B-1118,Power Electronics,Rashid,ECS,12,10
B-1119,Electric Machines,Nagrath & Kothari,ECS,8,7
B-1120,Circuit Theory,A. Chakrabarti,ECS,8,7
B-1121,Electromagnetic Field Theory,Sadiku,ECS,5,4
B-1122,Modern Digital and Analog Communication Systems,Lathi,ECS,12,12
B-1123,Information Theory and Coding,Muralidhar Kulkarni,ECS,5,4
B-1124,Fiber Optic Communication,Keiser,ECS,8,8
B-1125,Satellite Communication,Pratt,ECS,6,6
B-1126,Wireless Communications,Rappaport,ECS,9,7
B-1127,Antenna and Wave Propagation,Prasad,ECS,13,13
B-1128,Radar Systems,Skolnik,ECS,6,6
B-1129,Optical Networks,Ramaswami,ECS,10,9
B-1130,Broadband Communication,Balaji Prasad,ECS,8,7
B-1131,Sensors and Transducers,Patranabis,ECS,12,12
B-1132,Industrial Instrumentation,Eckman,ECS,5,3
B-1133,Process Control,Stephanopoulos,ECS,9,9
B-1134,Robotics and Control,Mittal,ECS,15,15
B-1135,Mechatronics,Bolton,ECS,12,12
B-1136,PLC and Industrial Automation,Madhuchhanda Mitra,ECS,14,14
B-1137,Internet of Things: A Hands-On Approach,Bahga,ECS,8,7
B-1138,Embedded C,Pont,ECS,11,11
