Book_ID,Title,Author,Department,Total_Copies,Available_Copies
AU001,Automotive Mechanics (Ed 1),"Crouse, Anglin",AUTO,20,20
AU002,Internal Combustion Engines (Ed 1),V. Ganesan,AUTO,15,15
AU003,Vehicle Dynamics (Ed 1),Thomas Gillespie,AUTO,16,16
AU004,Automobile Engineering (Ed 1),Kirpal Singh,AUTO,20,20
AU005,Automotive Mechanics (Ed 2),"Crouse, Anglin",AUTO,10,10
AU006,Internal Combustion Engines (Ed 2),V. Ganesan,AUTO,12,11
AU007,Vehicle Dynamics (Ed 2),Thomas Gillespie,AUTO,14,14
AU008,Automobile Engineering (Ed 2),Kirpal Singh,AUTO,10,10
AU009,Automotive Mechanics (Ed 3),"Crouse, Anglin",AUTO,24,24
AU010,Internal Combustion Engines (Ed 3),V. Ganesan,AUTO,21,21
AU011,Vehicle Dynamics (Ed 3),Thomas Gillespie,AUTO,19,17
AU012,Automobile Engineering (Ed 3),Kirpal Singh,AUTO,10,9
AU013,Automotive Mechanics (Ed 4),"Crouse, Anglin",AUTO,10,10
AU014,Internal Combustion Engines (Ed 4),V. Ganesan,AUTO,11,11
AU015,Vehicle Dynamics (Ed 4),Thomas Gillespie,AUTO,23,21
AU016,Automobile Engineering (Ed 4),Kirpal Singh,AUTO,21,21
AU017,Automotive Mechanics (Ed 5),"Crouse, Anglin",AUTO,11,10
AU018,Internal Combustion Engines (Ed 5),V. Ganesan,AUTO,17,17
AU019,Vehicle Dynamics (Ed 5),Thomas Gillespie,AUTO,10,10
AU020,Automobile Engineering (Ed 5),Kirpal Singh,AUTO,10,10
AU021,Automotive Mechanics (Ed 6),"Crouse, Anglin",AUTO,18,18
AU022,Internal Combustion Engines (Ed 6),V. Ganesan,AUTO,16,15
AU023,Vehicle Dynamics (Ed 6),Thomas Gillespie,AUTO,14,14
AU024,Automobile Engineering (Ed 6),Kirpal Singh,AUTO,17,16
AU025,Automotive Mechanics (Ed 7),"Crouse, Anglin",AUTO,25,24
AU026,Internal Combustion Engines (Ed 7),V. Ganesan,AUTO,14,13
AU027,Vehicle Dynamics (Ed 7),Thomas Gillespie,AUTO,10,10
AU028,Automobile Engineering (Ed 7),Kirpal Singh,AUTO,13,13
AU029,Automotive Mechanics (Ed 8),"Crouse, Anglin",AUTO,20,20
AU030,Internal Combustion Engines (Ed 8),V. Ganesan,AUTO,14,14
AU031,Vehicle Dynamics (Ed 8),Thomas Gillespie,AUTO,23,23
AU032,Automobile Engineering (Ed 8),Kirpal Singh,AUTO,11,11
AU033,Automotive Mechanics (Ed 9),"Crouse, Anglin",AUTO,17,17
AU034,Internal Combustion Engines (Ed 9),V. Ganesan,AUTO,19,19
AU035,Vehicle Dynamics (Ed 9),Thomas Gillespie,AUTO,18,17
AU036,Automobile Engineering (Ed 9),Kirpal Singh,AUTO,25,24
AU037,Automotive Mechanics (Ed 10),"Crouse, Anglin",AUTO,15,14
AU038,Internal Combustion Engines (Ed 10),V. Ganesan,AUTO,14,14
AU039,Vehicle Dynamics (Ed 10),Thomas Gillespie,AUTO,20,20
AU040,Automobile Engineering (Ed 10),Kirpal Singh,AUTO,13,13
AU041,Automotive Mechanics (Ed 11),"Crouse, Anglin",AUTO,18,18
AU042,Internal Combustion Engines (Ed 11),V. Ganesan,AUTO,21,20
AU043,Vehicle Dynamics (Ed 11),Thomas Gillespie,AUTO,19,19
AU044,Automobile Engineering (Ed 11),Kirpal Singh,AUTO,23,22
AU045,Automotive Mechanics (Ed 12),"Crouse, Anglin",AUTO,20,20
AU046,Internal Combustion Engines (Ed 12),V. Ganesan,AUTO,21,21
AU047,Vehicle Dynamics (Ed 12),Thomas Gillespie,AUTO,19,19
AU048,Automobile Engineering (Ed 12),Kirpal Singh,AUTO,23,23
AU049,Automotive Mechanics (Ed 13),"Crouse, Anglin",AUTO,17,17
AU050,Internal Combustion Engines (Ed 13),V. Ganesan,AUTO,24,24
