Book_ID,Title,Author,Department,Total_Copies,Available_Copies
CS001,Introduction to Algorithms (Ed 1),"Cormen, Leiserson",CS,24,24
CS002,Operating System Concepts (Ed 1),"Silberschatz, Galvin",CS,22,22
CS003,Computer Networks (Ed 1),Tanenbaum,CS,10,8
CS004,Artificial Intelligence: A Modern Approach (Ed 1),"Russell, Norvig",CS,17,17
CS005,Database System Concepts (Ed 1),"Korth, Sudarshan",CS,22,21
CS006,Compilers: Principles (Ed 1),"Aho, Ullman",CS,22,22
CS007,Discrete Mathematics (Ed 1),Kenneth Rosen,CS,14,14
CS008,Speech and Language Processing (Ed 1),"Jurafsky, Martin",CS,20,19
CS009,Introduction to Algorithms (Ed 2),"Cormen, Leiserson",CS,12,12
CS010,Operating System Concepts (Ed 2),"Silberschatz, Galvin",CS,16,16
CS011,Computer Networks (Ed 2),Tanenbaum,CS,13,13
CS012,Artificial Intelligence: A Modern Approach (Ed 2),"Russell, Norvig",CS,21,21
CS013,Database System Concepts (Ed 2),"Korth, Sudarshan",CS,24,24
CS014,Compilers: Principles (Ed 2),"Aho, Ullman",CS,23,22
CS015,Discrete Mathematics (Ed 2),Kenneth Rosen,CS,14,14
CS016,Speech and Language Processing (Ed 2),"Jurafsky, Martin",CS,15,14
CS017,Introduction to Algorithms (Ed 3),"Cormen, Leiserson",CS,11,11
CS018,Operating System Concepts (Ed 3),"Silberschatz, Galvin",CS,24,23
CS019,Computer Networks (Ed 3),Tanenbaum,CS,16,16
CS020,Artificial Intelligence: A Modern Approach (Ed 3),"Russell, Norvig",CS,23,23
CS021,Database System Concepts (Ed 3),"Korth, Sudarshan",CS,18,18
CS022,Compilers: Principles (Ed 3),"Aho, Ullman",CS,13,13
CS023,Discrete Mathematics (Ed 3),Kenneth Rosen,CS,13,12
CS024,Speech and Language Processing (Ed 3),"Jurafsky, Martin",CS,13,13
CS025,Introduction to Algorithms (Ed 4),"Cormen, Leiserson",CS,13,13
CS026,Operating System Concepts (Ed 4),"Silberschatz, Galvin",CS,24,24
CS027,Computer Networks (Ed 4),Tanenbaum,CS,14,14
CS028,Artificial Intelligence: A Modern Approach (Ed 4),"Russell, Norvig",CS,24,23
CS029,Database System Concepts (Ed 4),"Korth, Sudarshan",CS,16,16
CS030,Compilers: Principles (Ed 4),"Aho, Ullman",CS,15,15
CS031,Discrete Mathematics (Ed 4),Kenneth Rosen,CS,21,20
CS032,Speech and Language Processing (Ed 4),"Jurafsky, Martin",CS,15,15
CS033,Introduction to Algorithms (Ed 5),"Cormen, Leiserson",CS,10,10
CS034,Operating System Concepts (Ed 5),"Silberschatz, Galvin",CS,14,14
CS035,Computer Networks (Ed 5),Tanenbaum,CS,23,23
CS036,Artificial Intelligence: A Modern Approach (Ed 5),"Russell, Norvig",CS,21,21
