Book_ID,Title,Author,Department,Total_Copies,Available_Copies
EC001,Digital Design (Ed 1),M. Morris Mano,ECS,11,10
EC002,Microprocessor Architecture (Ed 1),Ramesh Gaonkar,ECS,13,12
EC003,Signals and Systems (Ed 1),Alan Oppenheim,ECS,21,21
EC004,Embedded Systems (Ed 1),Raj Kamal,ECS,25,24
EC005,VLSI Design (Ed 1),Debaprasad Das,ECS,20,20
EC006,Control Systems Engineering (Ed 1),"Nagrath, Gopal",ECS,11,11
EC007,Digital Design (Ed 2),M. Morris Mano,ECS,19,19
EC008,Microprocessor Architecture (Ed 2),Ramesh Gaonkar,ECS,11,11
EC009,Signals and Systems (Ed 2),Alan Oppenheim,ECS,18,18
EC010,Embedded Systems (Ed 2),Raj Kamal,ECS,10,10
EC011,VLSI Design (Ed 2),Debaprasad Das,ECS,16,16
EC012,Control Systems Engineering (Ed 2),"Nagrath, Gopal",ECS,18,17
EC013,Digital Design (Ed 3),M. Morris Mano,ECS,15,14
EC014,Microprocessor Architecture (Ed 3),Ramesh Gaonkar,ECS,24,23
EC015,Signals and Systems (Ed 3),Alan Oppenheim,ECS,13,12
EC016,Embedded Systems (Ed 3),Raj Kamal,ECS,14,14
EC017,VLSI Design (Ed 3),Debaprasad Das,ECS,13,13
EC018,Control Systems Engineering (Ed 3),"Nagrath, Gopal",ECS,13,13
EC019,Digital Design (Ed 4),M. Morris Mano,ECS,15,15
EC020,Microprocessor Architecture (Ed 4),Ramesh Gaonkar,ECS,22,22
EC021,Signals and Systems (Ed 4),Alan Oppenheim,ECS,15,15
EC022,Embedded Systems (Ed 4),Raj Kamal,ECS,14,14
EC023,VLSI Design (Ed 4),Debaprasad Das,ECS,15,15
EC024,Control Systems Engineering (Ed 4),"Nagrath, Gopal",ECS,24,24
EC025,Digital Design (Ed 5),M. Morris Mano,ECS,23,23
EC026,Microprocessor Architecture (Ed 5),Ramesh Gaonkar,ECS,17,17
EC027,Signals and Systems (Ed 5),Alan Oppenheim,ECS,23,22
EC028,Embedded Systems (Ed 5),Raj Kamal,ECS,19,19
EC029,VLSI Design (Ed 5),Debaprasad Das,ECS,16,16
EC030,Control Systems Engineering (Ed 5),"Nagrath, Gopal",ECS,15,14
EC031,Digital Design (Ed 6),M. Morris Mano,ECS,17,16
EC032,Microprocessor Architecture (Ed 6),Ramesh Gaonkar,ECS,23,23
