Book_ID,Title,Author,Department,Total_Copies,Available_Copies
IT001,Software Engineering (Ed 1),Roger S. Pressman,IT,22,22
IT002,Cloud Computing (Ed 1),Rajkumar Buyya,IT,13,10
IT003,Web Technologies (Ed 1),Achyut Godbole,IT,11,11
IT004,Cryptography and Network Security (Ed 1),William Stallings,IT,20,20
IT005,Big Data Analytics (Ed 1),Radha Shankarmani,IT,15,15
IT006,The Complete Reference Java (Ed 1),Herbert Schildt,IT,13,13
IT007,Software Engineering (Ed 2),Roger S. Pressman,IT,10,9
IT008,Cloud Computing (Ed 2),Rajkumar Buyya,IT,18,17
IT009,Web Technologies (Ed 2),Achyut Godbole,IT,13,13
IT010,Cryptography and Network Security (Ed 2),William Stallings,IT,11,10
IT011,Big Data Analytics (Ed 2),Radha Shankarmani,IT,23,23
IT012,The Complete Reference Java (Ed 2),Herbert Schildt,IT,16,16
IT013,Software Engineering (Ed 3),Roger S. Pressman,IT,20,20
IT014,Cloud Computing (Ed 3),Rajkumar Buyya,IT,20,20
IT015,Web Technologies (Ed 3),Achyut Godbole,IT,24,22
IT016,Cryptography and Network Security (Ed 3),William Stallings,IT,16,15
IT017,Big Data Analytics (Ed 3),Radha Shankarmani,IT,17,16
IT018,The Complete Reference Java (Ed 3),Herbert Schildt,IT,14,14
IT019,Software Engineering (Ed 4),Roger S. Pressman,IT,25,25
IT020,Cloud Computing (Ed 4),Rajkumar Buyya,IT,23,23
IT021,Web Technologies (Ed 4),Achyut Godbole,IT,16,16
IT022,Cryptography and Network Security (Ed 4),William Stallings,IT,25,25
IT023,Big Data Analytics (Ed 4),Radha Shankarmani,IT,16,14
IT024,The Complete Reference Java (Ed 4),Herbert Schildt,IT,22,21
IT025,Software Engineering (Ed 5),Roger S. Pressman,IT,20,18
IT026,Cloud Computing (Ed 5),Rajkumar Buyya,IT,20,20
IT027,Web Technologies (Ed 5),Achyut Godbole,IT,20,18
IT028,Cryptography and Network Security (Ed 5),William Stallings,IT,12,12
IT029,Big Data Analytics (Ed 5),Radha Shankarmani,IT,13,13
IT030,The Complete Reference Java (Ed 5),Herbert Schildt,IT,19,19
IT031,Software Engineering (Ed 6),Roger S. Pressman,IT,19,18
IT032,Cloud Computing (Ed 6),Rajkumar Buyya,IT,14,14
IT033,Web Technologies (Ed 6),Achyut Godbole,IT,10,10
IT034,Cryptography and Network Security (Ed 6),William Stallings,IT,16,16
IT035,Big Data Analytics (Ed 6),Radha Shankarmani,IT,17,17
IT036,The Complete Reference Java (Ed 6),Herbert Schildt,IT,23,22
IT037,Software Engineering (Ed 7),Roger S. Pressman,IT,25,25
IT038,Cloud Computing (Ed 7),Rajkumar Buyya,IT,25,25
IT039,Web Technologies (Ed 7),Achyut Godbole,IT,11,11
IT040,Cryptography and Network Security (Ed 7),William Stallings,IT,21,21
IT041,Big Data Analytics (Ed 7),Radha Shankarmani,IT,13,13
IT042,The Complete Reference Java (Ed 7),Herbert Schildt,IT,13,13
IT043,Software Engineering (Ed 8),Roger S. Pressman,IT,23,23
