Book_ID,Title,Author,Department,Total_Copies,Available_Copies
ME001,Thermodynamics: An Engineering Approach (Ed 1),Yunus Cengel,MECH,23,22
ME002,Fluid Mechanics (Ed 1),"Fox, McDonald",MECH,15,15
ME003,Theory of Machines (Ed 1),S.S. Rattan,MECH,25,25
ME004,Strength of Materials (Ed 1),R.K. Rajput,MECH,12,12
ME005,Heat and Mass Transfer (Ed 1),P.K. Nag,MECH,15,15
ME006,Thermodynamics: An Engineering Approach (Ed 2),Yunus Cengel,MECH,24,24
ME007,Fluid Mechanics (Ed 2),"Fox, McDonald",MECH,10,10
ME008,Theory of Machines (Ed 2),S.S. Rattan,MECH,13,13
ME009,Strength of Materials (Ed 2),R.K. Rajput,MECH,17,17
ME010,Heat and Mass Transfer (Ed 2),P.K. Nag,MECH,22,22
ME011,Thermodynamics: An Engineering Approach (Ed 3),Yunus Cengel,MECH,19,19
ME012,Fluid Mechanics (Ed 3),"Fox, McDonald",MECH,18,17
ME013,Theory of Machines (Ed 3),S.S. Rattan,MECH,11,11
ME014,Strength of Materials (Ed 3),R.K. Rajput,MECH,18,18
ME015,Heat and Mass Transfer (Ed 3),P.K. Nag,MECH,18,18
ME016,Thermodynamics: An Engineering Approach (Ed 4),Yunus Cengel,MECH,25,25
ME017,Fluid Mechanics (Ed 4),"Fox, McDonald",MECH,21,21
ME018,Theory of Machines (Ed 4),S.S. Rattan,MECH,13,13
ME019,Strength of Materials (Ed 4),R.K. Rajput,MECH,12,12
ME020,Heat and Mass Transfer (Ed 4),P.K. Nag,MECH,10,10
ME021,Thermodynamics: An Engineering Approach (Ed 5),Yunus Cengel,MECH,22,22
ME022,Fluid Mechanics (Ed 5),"Fox, McDonald",MECH,12,12
ME023,Theory of Machines (Ed 5),S.S. Rattan,MECH,15,15
ME024,Strength of Materials (Ed 5),R.K. Rajput,MECH,17,17
ME025,Heat and Mass Transfer (Ed 5),P.K. Nag,MECH,23,23
ME026,Thermodynamics: An Engineering Approach (Ed 6),Yunus Cengel,MECH,11,11
ME027,Fluid Mechanics (Ed 6),"Fox, McDonald",MECH,13,13
ME028,Theory of Machines (Ed 6),S.S. Rattan,MECH,18,18
ME029,Strength of Materials (Ed 6),R.K. Rajput,MECH,16,16
ME030,Heat and Mass Transfer (Ed 6),P.K. Nag,MECH,17,16
ME031,Thermodynamics: An Engineering Approach (Ed 7),Yunus Cengel,MECH,20,19
ME032,Fluid Mechanics (Ed 7),"Fox, McDonald",MECH,24,24
ME033,Theory of Machines (Ed 7),S.S. Rattan,MECH,11,11
ME034,Strength of Materials (Ed 7),R.K. Rajput,MECH,19,19
ME035,Heat and Mass Transfer (Ed 7),P.K. Nag,MECH,22,22
ME036,Thermodynamics: An Engineering Approach (Ed 8),Yunus Cengel,MECH,25,24
ME037,Fluid Mechanics (Ed 8),"Fox, McDonald",MECH,17,16
ME038,Theory of Machines (Ed 8),S.S. Rattan,MECH,15,15
ME039,Strength of Materials (Ed 8),R.K. Rajput,MECH,23,23
ME040,Heat and Mass Transfer (Ed 8),P.K. Nag,MECH,13,12
ME041,Thermodynamics: An Engineering Approach (Ed 9),Yunus Cengel,MECH,13,13
ME042,Fluid Mechanics (Ed 9),"Fox, McDonald",MECH,12,11
ME043,Theory of Machines (Ed 9),S.S. Rattan,MECH,12,11
ME044,Strength of Materials (Ed 9),R.K. Rajput,MECH,11,11
ME045,Heat and Mass Transfer (Ed 9),P.K. Nag,MECH,21,21
ME046,Thermodynamics: An Engineering Approach (Ed 10),Yunus Cengel,MECH,23,23
ME047,Fluid Mechanics (Ed 10),"Fox, McDonald",MECH,13,13
ME048,Theory of Machines (Ed 10),S.S. Rattan,MECH,10,9
ME049,Strength of Materials (Ed 10),R.K. Rajput,MECH,18,18
ME050,Heat and Mass Transfer (Ed 10),P.K. Nag,MECH,17,17
