Book_ID,Title,Author,Department,Total_Copies,Available_Copies
EC001,Digital Design,M. Morris Mano,ECS,11,10
EC002,Microprocessor Architecture,Ramesh Gaonkar,ECS,13,12
EC003,Signals and Systems,Alan Oppenheim,ECS,21,21
EC004,Embedded Systems,Raj Kamal,ECS,25,24
EC005,VLSI Design,Debaprasad Das,ECS,20,20
EC006,Control Systems Engineering,"Nagrath, Gopal",ECS,11,11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
